Alpha,Gamma,Epsilon,Average Reward
0.9,0.2,0.5,-0.072
0.9,0.2,0.6,-0.151
0.9,0.2,0.7,-0.183
0.9,0.2,0.8,-0.134
0.9,0.2,0.9,-0.147
0.9,0.2,1.0,-0.152
0.9,0.3,0.1,-0.205
0.9,0.3,0.2,-0.157
0.9,0.3,0.3,-0.113
0.9,0.3,0.4,-0.139
0.9,0.3,0.5,-0.113
0.9,0.3,0.6,-0.119
0.9,0.3,0.7,-0.119
0.9,0.3,0.8,-0.162
0.9,0.3,0.9,-0.16
0.9,0.3,1.0,-0.117
0.9,0.4,0.1,-0.134
0.9,0.4,0.2,-0.158
0.9,0.4,0.3,-0.132
0.9,0.4,0.4,-0.164
0.9,0.4,0.5,-0.116
0.9,0.4,0.6,-0.155
0.9,0.4,0.7,-0.085
0.9,0.4,0.8,-0.137
0.9,0.4,0.9,-0.145
0.9,0.4,1.0,-0.148
0.9,0.5,0.1,-0.124
0.9,0.5,0.2,-0.146
0.9,0.5,0.3,-0.117
0.9,0.5,0.4,-0.087
0.9,0.5,0.5,-0.141
0.9,0.5,0.6,-0.146
0.9,0.5,0.7,-0.128
0.9,0.5,0.8,-0.091
0.9,0.5,0.9,-0.142
0.9,0.5,1.0,-0.173
0.9,0.6,0.1,-0.094
0.9,0.6,0.2,-0.096
0.9,0.6,0.3,-0.137
0.9,0.6,0.4,-0.116
0.9,0.6,0.5,-0.149
0.9,0.6,0.6,-0.166
0.9,0.6,0.7,-0.107
0.9,0.6,0.8,-0.242
0.9,0.6,0.9,-0.154
0.9,0.6,1.0,-0.131
0.9,0.7,0.1,-0.094
0.9,0.7,0.2,-0.143
0.9,0.7,0.3,-0.145
0.9,0.7,0.4,-0.127
0.9,0.7,0.5,-0.144
0.9,0.7,0.6,-0.086
0.9,0.7,0.7,-0.092
0.9,0.7,0.8,-0.118
0.9,0.7,0.9,-0.175
0.9,0.7,1.0,-0.215
0.9,0.8,0.1,-0.114
0.9,0.8,0.2,-0.087
0.9,0.8,0.3,-0.106
0.9,0.8,0.4,-0.133
0.9,0.8,0.5,-0.149
0.9,0.8,0.6,-0.134
0.9,0.8,0.7,-0.132
0.9,0.8,0.8,-0.147
0.9,0.8,0.9,-0.145
0.9,0.8,1.0,-0.15
0.9,0.9,0.1,-0.107
0.9,0.9,0.2,-0.141
0.9,0.9,0.3,-0.145
0.9,0.9,0.4,-0.153
0.9,0.9,0.5,-0.077
0.9,0.9,0.6,-0.106
0.9,0.9,0.7,-0.146
0.9,0.9,0.8,-0.104
0.9,0.9,0.9,-0.121
0.9,0.9,1.0,-0.105
0.9,1.0,0.1,-0.174
0.9,1.0,0.2,-0.173
0.9,1.0,0.3,-0.11
0.9,1.0,0.4,-0.106
0.9,1.0,0.5,-0.149
0.9,1.0,0.6,-0.065
0.9,1.0,0.7,-0.105
0.9,1.0,0.8,-0.135
0.9,1.0,0.9,-0.184
0.9,1.0,1.0,-0.162
1.0,0.1,0.1,-0.067
1.0,0.1,0.2,-0.112
1.0,0.1,0.3,-0.143
1.0,0.1,0.4,-0.09
1.0,0.1,0.5,-0.121
1.0,0.1,0.6,-0.196
1.0,0.1,0.7,-0.124
1.0,0.1,0.8,-0.162
1.0,0.1,0.9,-0.139
1.0,0.1,1.0,-0.113
1.0,0.2,0.1,-0.11
1.0,0.2,0.2,-0.123
1.0,0.2,0.3,-0.105
1.0,0.2,0.4,-0.138
1.0,0.2,0.5,-0.116
1.0,0.2,0.6,-0.125
1.0,0.2,0.7,-0.149
1.0,0.2,0.8,-0.08
1.0,0.2,0.9,-0.153
1.0,0.2,1.0,-0.154
1.0,0.3,0.1,-0.118
1.0,0.3,0.2,-0.168
1.0,0.3,0.3,-0.133
1.0,0.3,0.4,-0.074
1.0,0.3,0.5,-0.163
1.0,0.3,0.6,-0.139
1.0,0.3,0.7,-0.127
1.0,0.3,0.8,-0.107
1.0,0.3,0.9,-0.147
1.0,0.3,1.0,-0.097
1.0,0.4,0.1,-0.118
1.0,0.4,0.2,-0.144
1.0,0.4,0.3,-0.081
1.0,0.4,0.4,-0.17
1.0,0.4,0.5,-0.144
1.0,0.4,0.6,-0.126
1.0,0.4,0.7,-0.115
1.0,0.4,0.8,-0.18
1.0,0.4,0.9,-0.105
1.0,0.4,1.0,-0.083
1.0,0.5,0.1,-0.111
1.0,0.5,0.2,-0.128
1.0,0.5,0.3,-0.046
1.0,0.5,0.4,-0.116
1.0,0.5,0.5,-0.118
1.0,0.5,0.6,-0.18
1.0,0.5,0.7,-0.123
1.0,0.5,0.8,-0.124
1.0,0.5,0.9,-0.161
1.0,0.5,1.0,-0.178
1.0,0.6,0.1,-0.143
1.0,0.6,0.2,-0.117
1.0,0.6,0.3,-0.112
1.0,0.6,0.4,-0.131
1.0,0.6,0.5,-0.138
1.0,0.6,0.6,-0.154
1.0,0.6,0.7,-0.185
1.0,0.6,0.8,-0.168
1.0,0.6,0.9,-0.144
1.0,0.6,1.0,-0.204
1.0,0.7,0.1,-0.155
1.0,0.7,0.2,-0.132
1.0,0.7,0.3,-0.11
1.0,0.7,0.4,-0.138
1.0,0.7,0.5,-0.069
1.0,0.7,0.6,-0.139
1.0,0.7,0.7,-0.165
1.0,0.7,0.8,-0.121
1.0,0.7,0.9,-0.151
1.0,0.7,1.0,-0.116
1.0,0.8,0.1,-0.131
1.0,0.8,0.2,-0.135
1.0,0.8,0.3,-0.1
1.0,0.8,0.4,-0.108
1.0,0.8,0.5,-0.129
1.0,0.8,0.6,-0.11
1.0,0.8,0.7,-0.111
1.0,0.8,0.8,-0.199
1.0,0.8,0.9,-0.121
1.0,0.8,1.0,-0.133
1.0,0.9,0.1,-0.155
1.0,0.9,0.2,-0.107
1.0,0.9,0.3,-0.114
1.0,0.9,0.4,-0.106
1.0,0.9,0.5,-0.09
1.0,0.9,0.6,-0.142
1.0,0.9,0.7,-0.154
1.0,0.9,0.8,-0.171
1.0,0.9,0.9,-0.142
1.0,0.9,1.0,-0.115
1.0,1.0,0.1,-0.162
1.0,1.0,0.2,-0.119
1.0,1.0,0.3,-0.133
1.0,1.0,0.4,-0.105
1.0,1.0,0.5,-0.111
1.0,1.0,0.6,-0.088
1.0,1.0,0.7,-0.137
1.0,1.0,0.8,-0.141
1.0,1.0,0.9,-0.14
1.0,1.0,1.0,-0.115
Alpha,Gamma,Epsilon,Average Reward
0.1,0.1,0.1,-0.117
0.1,0.1,0.2,-0.123
0.1,0.1,0.3,-0.117
0.1,0.1,0.4,-0.124
0.1,0.1,0.5,-0.154
0.1,0.1,0.6,-0.134
0.1,0.1,0.7,-0.065
0.1,0.1,0.8,-0.168
0.1,0.1,0.9,-0.096
0.1,0.1,1.0,-0.171
0.1,0.2,0.1,-0.092
0.1,0.2,0.2,-0.147
0.1,0.2,0.3,-0.115
0.1,0.2,0.4,-0.073
0.1,0.2,0.5,-0.091
0.1,0.2,0.6,-0.146
0.1,0.2,0.7,-0.135
0.1,0.2,0.8,-0.157
0.1,0.2,0.9,-0.175
0.1,0.2,1.0,-0.148
0.1,0.3,0.1,-0.114
0.1,0.3,0.2,-0.11
0.1,0.3,0.3,-0.094
0.1,0.3,0.4,-0.136
0.1,0.3,0.5,-0.095
0.1,0.3,0.6,-0.15
0.1,0.3,0.7,-0.116
0.1,0.3,0.8,-0.148
0.1,0.3,0.9,-0.13
0.1,0.3,1.0,-0.209
0.1,0.4,0.1,-0.162
0.1,0.4,0.2,-0.162
0.1,0.4,0.3,-0.14
0.1,0.4,0.4,-0.129
0.1,0.4,0.5,-0.171
0.1,0.4,0.6,-0.107
0.1,0.4,0.7,-0.14
0.1,0.4,0.8,-0.126
0.1,0.4,0.9,-0.13
0.1,0.4,1.0,-0.13
0.1,0.5,0.1,-0.104
0.1,0.5,0.2,-0.103
0.1,0.5,0.3,-0.104
0.1,0.5,0.4,-0.105
0.1,0.5,0.5,-0.127
0.1,0.5,0.6,-0.091
0.1,0.5,0.7,-0.232
0.1,0.5,0.8,-0.129
0.1,0.5,0.9,-0.159
0.1,0.5,1.0,-0.151
0.1,0.6,0.1,-0.096
0.1,0.6,0.2,-0.13
0.1,0.6,0.3,-0.111
0.1,0.6,0.4,-0.116
0.1,0.6,0.5,-0.128
0.1,0.6,0.6,-0.062
0.1,0.6,0.7,-0.14
0.1,0.6,0.8,-0.106
0.1,0.6,0.9,-0.085
0.1,0.6,1.0,-0.22
0.1,0.7,0.1,-0.094
0.1,0.7,0.2,-0.125
0.1,0.7,0.3,-0.134
0.1,0.7,0.4,-0.101
0.1,0.7,0.5,-0.108
0.1,0.7,0.6,-0.139
0.1,0.7,0.7,-0.103
0.1,0.7,0.8,-0.174
0.1,0.7,0.9,-0.172
0.1,0.7,1.0,-0.223
0.1,0.8,0.1,-0.075
0.1,0.8,0.2,-0.092
0.1,0.8,0.3,-0.13
0.1,0.8,0.4,-0.128
0.1,0.8,0.5,-0.101
0.1,0.8,0.6,-0.125
0.1,0.8,0.7,-0.154
0.1,0.8,0.8,-0.131
0.1,0.8,0.9,-0.183
0.1,0.8,1.0,-0.142
0.1,0.9,0.1,-0.069
0.1,0.9,0.2,-0.161
0.1,0.9,0.3,-0.136
0.1,0.9,0.4,-0.142
0.1,0.9,0.5,-0.116
0.1,0.9,0.6,-0.09
0.1,0.9,0.7,-0.097
0.1,0.9,0.8,-0.13
0.1,0.9,0.9,-0.173
0.1,0.9,1.0,-0.226
0.1,1.0,0.1,-0.115
0.1,1.0,0.2,-0.102
0.1,1.0,0.3,-0.149
0.1,1.0,0.4,-0.107
0.1,1.0,0.5,-0.166
0.1,1.0,0.6,-0.129
0.1,1.0,0.7,-0.115
0.1,1.0,0.8,-0.124
0.1,1.0,0.9,-0.158
0.1,1.0,1.0,-0.14
0.2,0.1,0.1,-0.166
0.2,0.1,0.2,-0.114
0.2,0.1,0.3,-0.16
0.2,0.1,0.4,-0.107
0.2,0.1,0.5,-0.07
0.2,0.1,0.6,-0.118
0.2,0.1,0.7,-0.172
0.2,0.1,0.8,-0.159
0.2,0.1,0.9,-0.18
0.2,0.1,1.0,-0.111
0.2,0.2,0.1,-0.092
0.2,0.2,0.2,-0.136
0.2,0.2,0.3,-0.128
0.2,0.2,0.4,-0.16
0.2,0.2,0.5,-0.161
0.2,0.2,0.6,-0.177
0.2,0.2,0.7,-0.191
0.2,0.2,0.8,-0.196
0.2,0.2,0.9,-0.137
0.2,0.2,1.0,-0.163
0.2,0.3,0.1,-0.134
0.2,0.3,0.2,-0.128
0.2,0.3,0.3,-0.113
0.2,0.3,0.4,-0.123
0.2,0.3,0.5,-0.14
0.2,0.3,0.6,-0.169
0.2,0.3,0.7,-0.137
0.2,0.3,0.8,-0.123
0.2,0.3,0.9,-0.146
0.2,0.3,1.0,-0.186
0.2,0.4,0.1,-0.08
0.2,0.4,0.2,-0.147
0.2,0.4,0.3,-0.133
0.2,0.4,0.4,-0.132
0.2,0.4,0.5,-0.149
0.2,0.4,0.6,-0.184
0.2,0.4,0.7,-0.15
0.2,0.4,0.8,-0.128
0.2,0.4,0.9,-0.173
0.2,0.4,1.0,-0.101
0.2,0.5,0.1,-0.129
0.2,0.5,0.2,-0.137
0.2,0.5,0.3,-0.098
0.2,0.5,0.4,-0.104
0.2,0.5,0.5,-0.111
0.2,0.5,0.6,-0.16
0.2,0.5,0.7,-0.159
0.2,0.5,0.8,-0.13
0.2,0.5,0.9,-0.159
0.2,0.5,1.0,-0.12
0.2,0.6,0.1,-0.104
0.2,0.6,0.2,-0.081
0.2,0.6,0.3,-0.151
0.2,0.6,0.4,-0.103
0.2,0.6,0.5,-0.139
0.2,0.6,0.6,-0.119
0.2,0.6,0.7,-0.14
0.2,0.6,0.8,-0.126
0.2,0.6,0.9,-0.122
0.2,0.6,1.0,-0.139
0.2,0.7,0.1,-0.135
0.2,0.7,0.2,-0.123
0.2,0.7,0.3,-0.134
0.2,0.7,0.4,-0.175
0.2,0.7,0.5,-0.097
0.2,0.7,0.6,-0.167
0.2,0.7,0.7,-0.074
0.2,0.7,0.8,-0.177
0.2,0.7,0.9,-0.143
0.2,0.7,1.0,-0.129
0.2,0.8,0.1,-0.093
0.2,0.8,0.2,-0.117
0.2,0.8,0.3,-0.143
0.2,0.8,0.4,-0.128
0.2,0.8,0.5,-0.171
0.2,0.8,0.6,-0.055
0.2,0.8,0.7,-0.113
0.2,0.8,0.8,-0.186
0.2,0.8,0.9,-0.189
0.2,0.8,1.0,-0.157
0.2,0.9,0.1,-0.137
0.2,0.9,0.2,-0.091
0.2,0.9,0.3,-0.135
0.2,0.9,0.4,-0.115
0.2,0.9,0.5,-0.107
0.2,0.9,0.6,-0.093
0.2,0.9,0.7,-0.149
0.2,0.9,0.8,-0.134
0.2,0.9,0.9,-0.153
0.2,0.9,1.0,-0.152
0.2,1.0,0.1,-0.186
0.2,1.0,0.2,-0.155
0.2,1.0,0.3,-0.106
0.2,1.0,0.4,-0.1
0.2,1.0,0.5,-0.122
0.2,1.0,0.6,-0.119
0.2,1.0,0.7,-0.107
0.2,1.0,0.8,-0.098
0.2,1.0,0.9,-0.142
0.2,1.0,1.0,-0.181
0.3,0.1,0.1,-0.131
0.3,0.1,0.2,-0.114
0.3,0.1,0.3,-0.143
0.3,0.1,0.4,-0.141
0.3,0.1,0.5,-0.115
0.3,0.1,0.6,-0.104
0.3,0.1,0.7,-0.175
0.3,0.1,0.8,-0.171
0.3,0.1,0.9,-0.15
0.3,0.1,1.0,-0.141
0.3,0.2,0.1,-0.173
0.3,0.2,0.2,-0.141
0.3,0.2,0.3,-0.109
0.3,0.2,0.4,-0.167
0.3,0.2,0.5,-0.084
0.3,0.2,0.6,-0.158
0.3,0.2,0.7,-0.156
0.3,0.2,0.8,-0.202
0.3,0.2,0.9,-0.178
0.3,0.2,1.0,-0.186
0.3,0.3,0.1,-0.162
0.3,0.3,0.2,-0.146
0.3,0.3,0.3,-0.14
0.3,0.3,0.4,-0.142
0.3,0.3,0.5,-0.142
0.3,0.3,0.6,-0.149
0.3,0.3,0.7,-0.151
0.3,0.3,0.8,-0.17
0.3,0.3,0.9,-0.166
0.3,0.3,1.0,-0.188
0.3,0.4,0.1,-0.151
0.3,0.4,0.2,-0.132
0.3,0.4,0.3,-0.136
0.3,0.4,0.4,-0.165
0.3,0.4,0.5,-0.142
0.3,0.4,0.6,-0.161
0.3,0.4,0.7,-0.128
0.3,0.4,0.8,-0.17
0.3,0.4,0.9,-0.129
0.3,0.4,1.0,-0.161
0.3,0.5,0.1,-0.108
0.3,0.5,0.2,-0.114
0.3,0.5,0.3,-0.132
0.3,0.5,0.4,-0.102
0.3,0.5,0.5,-0.134
0.3,0.5,0.6,-0.102
0.3,0.5,0.7,-0.115
0.3,0.5,0.8,-0.104
0.3,0.5,0.9,-0.14
0.3,0.5,1.0,-0.155
0.3,0.6,0.1,-0.173
0.3,0.6,0.2,-0.118
0.3,0.6,0.3,-0.123
0.3,0.6,0.4,-0.163
0.3,0.6,0.5,-0.118
0.3,0.6,0.6,-0.096
0.3,0.6,0.7,-0.14
0.3,0.6,0.8,-0.161
0.3,0.6,0.9,-0.136
0.3,0.6,1.0,-0.156
0.3,0.7,0.1,-0.123
0.3,0.7,0.2,-0.104
0.3,0.7,0.3,-0.151
0.3,0.7,0.4,-0.09
0.3,0.7,0.5,-0.098
0.3,0.7,0.6,-0.171
0.3,0.7,0.7,-0.173
0.3,0.7,0.8,-0.145
0.3,0.7,0.9,-0.205
0.3,0.7,1.0,-0.174
0.3,0.8,0.1,-0.093
0.3,0.8,0.2,-0.132
0.3,0.8,0.3,-0.123
0.3,0.8,0.4,-0.14
0.3,0.8,0.5,-0.138
0.3,0.8,0.6,-0.108
0.3,0.8,0.7,-0.144
0.3,0.8,0.8,-0.129
0.3,0.8,0.9,-0.187
0.3,0.8,1.0,-0.173
0.3,0.9,0.1,-0.155
0.3,0.9,0.2,-0.105
0.3,0.9,0.3,-0.111
0.3,0.9,0.4,-0.124
0.3,0.9,0.5,-0.094
0.3,0.9,0.6,-0.111
0.3,0.9,0.7,-0.175
0.3,0.9,0.8,-0.136
0.3,0.9,0.9,-0.129
0.3,0.9,1.0,-0.213
0.3,1.0,0.1,-0.138
0.3,1.0,0.2,-0.061
0.3,1.0,0.3,-0.145
0.3,1.0,0.4,-0.094
0.3,1.0,0.5,-0.14
0.3,1.0,0.6,-0.076
0.3,1.0,0.7,-0.172
0.3,1.0,0.8,-0.166
0.3,1.0,0.9,-0.169
0.3,1.0,1.0,-0.106
0.4,0.1,0.1,-0.036
0.4,0.1,0.2,-0.106
0.4,0.1,0.3,-0.127
0.4,0.1,0.4,-0.115
0.4,0.1,0.5,-0.122
0.4,0.1,0.6,-0.154
0.4,0.1,0.7,-0.133
0.4,0.1,0.8,-0.153
0.4,0.1,0.9,-0.169
0.4,0.1,1.0,-0.196
0.4,0.2,0.1,-0.096
0.4,0.2,0.2,-0.147
0.4,0.2,0.3,-0.124
0.4,0.2,0.4,-0.091
0.4,0.2,0.5,-0.194
0.4,0.2,0.6,-0.069
0.4,0.2,0.7,-0.131
0.4,0.2,0.8,-0.161
0.4,0.2,0.9,-0.119
0.4,0.2,1.0,-0.152
0.4,0.3,0.1,-0.135
0.4,0.3,0.2,-0.129
0.4,0.3,0.3,-0.112
0.4,0.3,0.4,-0.142
0.4,0.3,0.5,-0.159
0.4,0.3,0.6,-0.132
0.4,0.3,0.7,-0.125
0.4,0.3,0.8,-0.18
0.4,0.3,0.9,-0.191
0.4,0.3,1.0,-0.1
0.4,0.4,0.1,-0.092
0.4,0.4,0.2,-0.161
0.4,0.4,0.3,-0.168
0.4,0.4,0.4,-0.136
0.4,0.4,0.5,-0.108
0.4,0.4,0.6,-0.132
0.4,0.4,0.7,-0.146
0.4,0.4,0.8,-0.128
0.4,0.4,0.9,-0.157
0.4,0.4,1.0,-0.114
0.4,0.5,0.1,-0.155
0.4,0.5,0.2,-0.114
0.4,0.5,0.3,-0.178
0.4,0.5,0.4,-0.11
0.4,0.5,0.5,-0.165
0.4,0.5,0.6,-0.122
0.4,0.5,0.7,-0.083
0.4,0.5,0.8,-0.157
0.4,0.5,0.9,-0.149
0.4,0.5,1.0,-0.129
0.4,0.6,0.1,-0.192
0.4,0.6,0.2,-0.118
0.4,0.6,0.3,-0.159
0.4,0.6,0.4,-0.126
0.4,0.6,0.5,-0.157
0.4,0.6,0.6,-0.12
0.4,0.6,0.7,-0.149
0.4,0.6,0.8,-0.104
0.4,0.6,0.9,-0.123
0.4,0.6,1.0,-0.184
0.4,0.7,0.1,-0.148
0.4,0.7,0.2,-0.094
0.4,0.7,0.3,-0.161
0.4,0.7,0.4,-0.15
0.4,0.7,0.5,-0.185
0.4,0.7,0.6,-0.156
0.4,0.7,0.7,-0.118
0.4,0.7,0.8,-0.165
0.4,0.7,0.9,-0.13
0.4,0.7,1.0,-0.124
0.4,0.8,0.1,-0.092
0.4,0.8,0.2,-0.06
0.4,0.8,0.3,-0.154
0.4,0.8,0.4,-0.197
0.4,0.8,0.5,-0.14
0.4,0.8,0.6,-0.129
0.4,0.8,0.7,-0.127
0.4,0.8,0.8,-0.046
0.4,0.8,0.9,-0.135
0.4,0.8,1.0,-0.144
0.4,0.9,0.1,-0.075
0.4,0.9,0.2,-0.106
0.4,0.9,0.3,-0.12
0.4,0.9,0.4,-0.099
0.4,0.9,0.5,-0.149
0.4,0.9,0.6,-0.133
0.4,0.9,0.7,-0.136
0.4,0.9,0.8,-0.129
0.4,0.9,0.9,-0.14
0.4,0.9,1.0,-0.197
0.4,1.0,0.1,-0.154
0.4,1.0,0.2,-0.102
0.4,1.0,0.3,-0.107
0.4,1.0,0.4,-0.14
0.4,1.0,0.5,-0.184
0.4,1.0,0.6,-0.186
0.4,1.0,0.7,-0.1
0.4,1.0,0.8,-0.131
0.4,1.0,0.9,-0.187
0.4,1.0,1.0,-0.186
0.5,0.1,0.1,-0.09
0.5,0.1,0.2,-0.125
0.5,0.1,0.3,-0.089
0.5,0.1,0.4,-0.103
0.5,0.1,0.5,-0.061
0.5,0.1,0.6,-0.169
0.5,0.1,0.7,-0.12
0.5,0.1,0.8,-0.126
0.5,0.1,0.9,-0.14
0.5,0.1,1.0,-0.178
0.5,0.2,0.1,-0.154
0.5,0.2,0.2,-0.119
0.5,0.2,0.3,-0.114
0.5,0.2,0.4,-0.12
0.5,0.2,0.5,-0.091
0.5,0.2,0.6,-0.143
0.5,0.2,0.7,-0.173
0.5,0.2,0.8,-0.077
0.5,0.2,0.9,-0.123
0.5,0.2,1.0,-0.136
0.5,0.3,0.1,-0.106
0.5,0.3,0.2,-0.144
0.5,0.3,0.3,-0.12
0.5,0.3,0.4,-0.108
0.5,0.3,0.5,-0.095
0.5,0.3,0.6,-0.127
0.5,0.3,0.7,-0.146
0.5,0.3,0.8,-0.16
0.5,0.3,0.9,-0.186
0.5,0.3,1.0,-0.132
0.5,0.4,0.1,-0.074
0.5,0.4,0.2,-0.09
0.5,0.4,0.3,-0.17
0.5,0.4,0.4,-0.162
0.5,0.4,0.5,-0.14
0.5,0.4,0.6,-0.156
0.5,0.4,0.7,-0.156
0.5,0.4,0.8,-0.112
0.5,0.4,0.9,-0.185
0.5,0.4,1.0,-0.18
0.5,0.5,0.1,-0.112
0.5,0.5,0.2,-0.093
0.5,0.5,0.3,-0.14
0.5,0.5,0.4,-0.138
0.5,0.5,0.5,-0.068
0.5,0.5,0.6,-0.105
0.5,0.5,0.7,-0.171
0.5,0.5,0.8,-0.154
0.5,0.5,0.9,-0.143
0.5,0.5,1.0,-0.119
0.5,0.6,0.1,-0.136
0.5,0.6,0.2,-0.128
0.5,0.6,0.3,-0.175
0.5,0.6,0.4,-0.126
0.5,0.6,0.5,-0.082
0.5,0.6,0.6,-0.208
0.5,0.6,0.7,-0.157
0.5,0.6,0.8,-0.16
0.5,0.6,0.9,-0.179
0.5,0.6,1.0,-0.174
0.5,0.7,0.1,-0.159
0.5,0.7,0.2,-0.125
0.5,0.7,0.3,-0.084
0.5,0.7,0.4,-0.107
0.5,0.7,0.5,-0.154
0.5,0.7,0.6,-0.085
0.5,0.7,0.7,-0.13
0.5,0.7,0.8,-0.097
0.5,0.7,0.9,-0.131
0.5,0.7,1.0,-0.129
0.5,0.8,0.1,-0.096
0.5,0.8,0.2,-0.11
0.5,0.8,0.3,-0.126
0.5,0.8,0.4,-0.104
0.5,0.8,0.5,-0.137
0.5,0.8,0.6,-0.122
0.5,0.8,0.7,-0.183
0.5,0.8,0.8,-0.109
0.5,0.8,0.9,-0.174
0.5,0.8,1.0,-0.179
0.5,0.9,0.1,-0.102
0.5,0.9,0.2,-0.133
0.5,0.9,0.3,-0.144
0.5,0.9,0.4,-0.143
0.5,0.9,0.5,-0.131
0.5,0.9,0.6,-0.127
0.5,0.9,0.7,-0.209
0.5,0.9,0.8,-0.16
0.5,0.9,0.9,-0.143
0.5,0.9,1.0,-0.096
0.5,1.0,0.1,-0.141
0.5,1.0,0.2,-0.137
0.5,1.0,0.3,-0.152
0.5,1.0,0.4,-0.116
0.5,1.0,0.5,-0.129
0.5,1.0,0.6,-0.145
0.5,1.0,0.7,-0.126
0.5,1.0,0.8,-0.149
0.5,1.0,0.9,-0.176
0.5,1.0,1.0,-0.137
0.6,0.1,0.1,-0.128
0.6,0.1,0.2,-0.153
0.6,0.1,0.3,-0.085
0.6,0.1,0.4,-0.165
0.6,0.1,0.5,-0.129
0.6,0.1,0.6,-0.184
0.6,0.1,0.7,-0.14
0.6,0.1,0.8,-0.191
0.6,0.1,0.9,-0.194
0.6,0.1,1.0,-0.178
0.6,0.2,0.1,-0.107
0.6,0.2,0.2,-0.123
0.6,0.2,0.3,-0.153
0.6,0.2,0.4,-0.131
0.6,0.2,0.5,-0.118
0.6,0.2,0.6,-0.132
0.6,0.2,0.7,-0.153
0.6,0.2,0.8,-0.15
0.6,0.2,0.9,-0.148
0.6,0.2,1.0,-0.131
0.6,0.3,0.1,-0.127
0.6,0.3,0.2,-0.124
0.6,0.3,0.3,-0.146
0.6,0.3,0.4,-0.098
0.6,0.3,0.5,-0.168
0.6,0.3,0.6,-0.089
0.6,0.3,0.7,-0.126
0.6,0.3,0.8,-0.074
0.6,0.3,0.9,-0.151
0.6,0.3,1.0,-0.163
0.6,0.4,0.1,-0.103
0.6,0.4,0.2,-0.159
0.6,0.4,0.3,-0.133
0.6,0.4,0.4,-0.158
0.6,0.4,0.5,-0.162
0.6,0.4,0.6,-0.143
0.6,0.4,0.7,-0.18
0.6,0.4,0.8,-0.094
0.6,0.4,0.9,-0.091
0.6,0.4,1.0,-0.142
0.6,0.5,0.1,-0.084
0.6,0.5,0.2,-0.197
0.6,0.5,0.3,-0.07
0.6,0.5,0.4,-0.146
0.6,0.5,0.5,-0.075
0.6,0.5,0.6,-0.131
0.6,0.5,0.7,-0.113
0.6,0.5,0.8,-0.124
0.6,0.5,0.9,-0.122
0.6,0.5,1.0,-0.18
0.6,0.6,0.1,-0.1
0.6,0.6,0.2,-0.121
0.6,0.6,0.3,-0.105
0.6,0.6,0.4,-0.146
0.6,0.6,0.5,-0.086
0.6,0.6,0.6,-0.087
0.6,0.6,0.7,-0.14
0.6,0.6,0.8,-0.104
0.6,0.6,0.9,-0.162
0.6,0.6,1.0,-0.126
0.6,0.7,0.1,-0.097
0.6,0.7,0.2,-0.117
0.6,0.7,0.3,-0.096
0.6,0.7,0.4,-0.121
0.6,0.7,0.5,-0.169
0.6,0.7,0.6,-0.127
0.6,0.7,0.7,-0.087
0.6,0.7,0.8,-0.124
0.6,0.7,0.9,-0.096
0.6,0.7,1.0,-0.164
0.6,0.8,0.1,-0.152
0.6,0.8,0.2,-0.125
0.6,0.8,0.3,-0.154
0.6,0.8,0.4,-0.075
0.6,0.8,0.5,-0.139
0.6,0.8,0.6,-0.151
0.6,0.8,0.7,-0.087
0.6,0.8,0.8,-0.146
0.6,0.8,0.9,-0.169
0.6,0.8,1.0,-0.168
0.6,0.9,0.1,-0.15
0.6,0.9,0.2,-0.144
0.6,0.9,0.3,-0.077
0.6,0.9,0.4,-0.166
0.6,0.9,0.5,-0.151
0.6,0.9,0.6,-0.108
0.6,0.9,0.7,-0.15
0.6,0.9,0.8,-0.141
0.6,0.9,0.9,-0.142
0.6,0.9,1.0,-0.175
0.6,1.0,0.1,-0.091
0.6,1.0,0.2,-0.097
0.6,1.0,0.3,-0.142
0.6,1.0,0.4,-0.104
0.6,1.0,0.5,-0.159
0.6,1.0,0.6,-0.118
0.6,1.0,0.7,-0.117
0.6,1.0,0.8,-0.134
0.6,1.0,0.9,-0.149
0.6,1.0,1.0,-0.102
0.7,0.1,0.1,-0.078
0.7,0.1,0.2,-0.139
0.7,0.1,0.3,-0.111
0.7,0.1,0.4,-0.156
0.7,0.1,0.5,-0.157
0.7,0.1,0.6,-0.103
0.7,0.1,0.7,-0.177
0.7,0.1,0.8,-0.153
0.7,0.1,0.9,-0.246
0.7,0.1,1.0,-0.165
0.7,0.2,0.1,-0.197
0.7,0.2,0.2,-0.15
0.7,0.2,0.3,-0.129
0.7,0.2,0.4,-0.178
0.7,0.2,0.5,-0.121
0.7,0.2,0.6,-0.113
0.7,0.2,0.7,-0.117
0.7,0.2,0.8,-0.152
0.7,0.2,0.9,-0.113
0.7,0.2,1.0,-0.117
0.7,0.3,0.1,-0.104
0.7,0.3,0.2,-0.088
0.7,0.3,0.3,-0.118
0.7,0.3,0.4,-0.045
0.7,0.3,0.5,-0.106
0.7,0.3,0.6,-0.127
0.7,0.3,0.7,-0.127
0.7,0.3,0.8,-0.123
0.7,0.3,0.9,-0.203
0.7,0.3,1.0,-0.177
0.7,0.4,0.1,-0.103
0.7,0.4,0.2,-0.112
0.7,0.4,0.3,-0.212
0.7,0.4,0.4,-0.11
