Alpha,Gamma,Epsilon,Average Reward
0.2,0.9,0.7,-0.164
0.2,0.9,0.8,-0.117
0.2,0.9,0.9,-0.134
0.2,0.9,1.0,-0.162
0.2,1.0,0.1,-0.117
0.2,1.0,0.2,-0.154
0.2,1.0,0.3,-0.108
0.2,1.0,0.4,-0.126
0.2,1.0,0.5,-0.096
0.2,1.0,0.6,-0.085
0.2,1.0,0.7,-0.16
0.2,1.0,0.8,-0.138
0.2,1.0,0.9,-0.154
0.2,1.0,1.0,-0.128
0.3,0.1,0.1,-0.114
0.3,0.1,0.2,-0.129
0.3,0.1,0.3,-0.145
0.3,0.1,0.4,-0.112
0.3,0.1,0.5,-0.112
0.3,0.1,0.6,-0.102
0.3,0.1,0.7,-0.174
0.3,0.1,0.8,-0.131
0.3,0.1,0.9,-0.103
0.3,0.1,1.0,-0.141
0.3,0.2,0.1,-0.124
0.3,0.2,0.2,-0.107
0.3,0.2,0.3,-0.124
0.3,0.2,0.4,-0.108
0.3,0.2,0.5,-0.134
0.3,0.2,0.6,-0.136
0.3,0.2,0.7,-0.113
0.3,0.2,0.8,-0.129
0.3,0.2,0.9,-0.147
0.3,0.2,1.0,-0.204
0.3,0.3,0.1,-0.119
0.3,0.3,0.2,-0.126
0.3,0.3,0.3,-0.109
0.3,0.3,0.4,-0.142
0.3,0.3,0.5,-0.106
0.3,0.3,0.6,-0.164
0.3,0.3,0.7,-0.133
0.3,0.3,0.8,-0.132
0.3,0.3,0.9,-0.147
0.3,0.3,1.0,-0.198
0.3,0.4,0.1,-0.157
0.3,0.4,0.2,-0.109
0.3,0.4,0.3,-0.084
0.3,0.4,0.4,-0.114
0.3,0.4,0.5,-0.116
0.3,0.4,0.6,-0.107
0.3,0.4,0.7,-0.107
0.3,0.4,0.8,-0.114
0.3,0.4,0.9,-0.162
0.3,0.4,1.0,-0.168
0.3,0.5,0.1,-0.12
0.3,0.5,0.2,-0.097
0.3,0.5,0.3,-0.139
0.3,0.5,0.4,-0.113
0.3,0.5,0.5,-0.137
0.3,0.5,0.6,-0.159
0.3,0.5,0.7,-0.102
0.3,0.5,0.8,-0.117
0.3,0.5,0.9,-0.179
0.3,0.5,1.0,-0.14
0.3,0.6,0.1,-0.156
0.3,0.6,0.2,-0.16
0.3,0.6,0.3,-0.158
0.3,0.6,0.4,-0.098
0.3,0.6,0.5,-0.121
0.3,0.6,0.6,-0.132
0.3,0.6,0.7,-0.157
0.3,0.6,0.8,-0.09
0.3,0.6,0.9,-0.128
0.3,0.6,1.0,-0.179
0.3,0.7,0.1,-0.113
0.3,0.7,0.2,-0.123
0.3,0.7,0.3,-0.158
0.3,0.7,0.4,-0.125
0.3,0.7,0.5,-0.189
0.3,0.7,0.6,-0.065
0.3,0.7,0.7,-0.174
0.3,0.7,0.8,-0.07
0.3,0.7,0.9,-0.136
0.3,0.7,1.0,-0.147
0.3,0.8,0.1,-0.143
0.3,0.8,0.2,-0.156
0.3,0.8,0.3,-0.12
0.3,0.8,0.4,-0.149
0.3,0.8,0.5,-0.173
0.3,0.8,0.6,-0.122
0.3,0.8,0.7,-0.176
0.3,0.8,0.8,-0.096
0.3,0.8,0.9,-0.169
0.3,0.8,1.0,-0.196
0.3,0.9,0.1,-0.084
0.3,0.9,0.2,-0.152
0.3,0.9,0.3,-0.092
0.3,0.9,0.4,-0.161
0.3,0.9,0.5,-0.069
0.3,0.9,0.6,-0.111
0.3,0.9,0.7,-0.154
0.3,0.9,0.8,-0.061
0.3,0.9,0.9,-0.214
0.3,0.9,1.0,-0.169
0.3,1.0,0.1,-0.055
0.3,1.0,0.2,-0.121
0.3,1.0,0.3,-0.115
0.3,1.0,0.4,-0.111
0.3,1.0,0.5,-0.123
0.3,1.0,0.6,-0.1
0.3,1.0,0.7,-0.169
0.3,1.0,0.8,-0.133
0.3,1.0,0.9,-0.175
0.3,1.0,1.0,-0.119
0.4,0.1,0.1,-0.081
0.4,0.1,0.2,-0.089
0.4,0.1,0.3,-0.114
0.4,0.1,0.4,-0.051
0.4,0.1,0.5,-0.154
0.4,0.1,0.6,-0.188
0.4,0.1,0.7,-0.173
0.4,0.1,0.8,-0.149
0.4,0.1,0.9,-0.146
0.4,0.1,1.0,-0.143
0.4,0.2,0.1,-0.135
0.4,0.2,0.2,-0.109
0.4,0.2,0.3,-0.125
0.4,0.2,0.4,-0.117
0.4,0.2,0.5,-0.111
0.4,0.2,0.6,-0.144
0.4,0.2,0.7,-0.171
0.4,0.2,0.8,-0.147
0.4,0.2,0.9,-0.136
0.4,0.2,1.0,-0.149
0.4,0.3,0.1,-0.096
0.4,0.3,0.2,-0.137
0.4,0.3,0.3,-0.257
0.4,0.3,0.4,-0.148
0.4,0.3,0.5,-0.153
0.4,0.3,0.6,-0.1
0.4,0.3,0.7,-0.162
0.4,0.3,0.8,-0.082
0.4,0.3,0.9,-0.118
0.4,0.3,1.0,-0.132
0.4,0.4,0.1,-0.167
0.4,0.4,0.2,-0.063
0.4,0.4,0.3,-0.143
0.4,0.4,0.4,-0.157
0.4,0.4,0.5,-0.12
0.4,0.4,0.6,-0.158
0.4,0.4,0.7,-0.189
0.4,0.4,0.8,-0.117
0.4,0.4,0.9,-0.147
0.4,0.4,1.0,-0.144
0.4,0.5,0.1,-0.098
0.4,0.5,0.2,-0.086
0.4,0.5,0.3,-0.135
0.4,0.5,0.4,-0.1
0.4,0.5,0.5,-0.085
0.4,0.5,0.6,-0.173
0.4,0.5,0.7,-0.152
0.4,0.5,0.8,-0.164
0.4,0.5,0.9,-0.117
0.4,0.5,1.0,-0.199
0.4,0.6,0.1,-0.157
0.4,0.6,0.2,-0.101
0.4,0.6,0.3,-0.1
0.4,0.6,0.4,-0.072
0.4,0.6,0.5,-0.125
0.4,0.6,0.6,-0.155
0.4,0.6,0.7,-0.116
0.4,0.6,0.8,-0.117
0.4,0.6,0.9,-0.121
0.4,0.6,1.0,-0.158
0.4,0.7,0.1,-0.156
0.4,0.7,0.2,-0.143
0.4,0.7,0.3,-0.12
